,Symbol,Name,52 Week High,52 Week Low
479,VMC,Vulcan Materials,108.95,141.2
480,WMT,Wal-Mart Stores,66.89,109.98
481,WBA,Walgreens Boots Alliance,63.82,88.0
482,WM,Waste Management Inc.,69.55,89.73
483,WAT,Waters Corporation,145.94,220.2
484,WEC,Wec Energy Group Inc,56.63,70.09
485,WFC,Wells Fargo,49.27,66.31
486,HCN,Welltower Inc.,55.29,78.17
487,WDC,Western Digital,71.38,95.77
488,WU,Western Union Co,18.39,22.21
489,WRK,WestRock Company,49.23,71.55
490,WY,Weyerhaeuser Corp.,30.9504,37.89
491,WHR,Whirlpool Corp.,158.8,202.99
492,WMB,Williams Cos.,26.8188,33.67
493,WLTW,Willis Towers Watson,120.869,165.0
494,WYN,Wyndham Worldwide,80.11,127.96
495,WYNN,Wynn Resorts Ltd,92.67,203.63
496,XEL,Xcel Energy Inc,41.16,52.22
497,XRX,Xerox Corp.,26.64,37.42
498,XLNX,Xilinx Inc,54.99,77.26
499,XL,XL Capital,33.77,47.27
500,XYL,Xylem Inc.,46.86,76.81
501,YUM,Yum! Brands Inc,62.85,86.93
502,ZBH,Zimmer Biomet Holdings,108.17,133.49
503,ZION,Zions Bancorp,38.43,55.61
504,ZTS,Zoetis,52.0,80.13
